,city name,country,date,latitude,longitude,max temperature,humidity,cloudiness,wind speed
84,East London,ZA,1578261809,-33.02,27.91,73.44,75,90,4.63
85,Nikolskoye,RU,1578261809,59.7,30.79,24.01,79,81,3.47
86,Chokurdakh,RU,1578261584,70.62,147.9,-21.48,99,84,3.83
87,Lashio,MM,1578261809,22.93,97.75,58.12,98,90,0.92
88,Nioro,GM,1578261809,13.79,-15.05,72.45,10,0,9.04
89,Baindur,IN,1578261809,13.87,74.63,75.7,64,0,4.0
90,Ewa Beach,US,1578261809,21.32,-158.01,80.6,78,90,6.93
91,Dvorichna,UA,1578261809,49.85,37.68,28.72,94,100,7.61
92,Rocha,UY,1578261810,-34.48,-54.34,78.91,49,68,13.96
93,Iquitos,PE,1578261810,-3.75,-73.25,93.2,44,4,8.05
94,Luxor,EG,1578261810,25.7,32.65,46.4,51,0,4.63
95,Dingle,PH,1578261810,11.0,122.67,72.93,95,63,10.02
96,Tual,ID,1578261521,-5.67,132.75,83.28,77,51,11.81
97,Laguna,BZ,1578261811,16.17,-88.94,73.4,73,75,6.93
98,Alofi,NU,1578261811,-19.06,-169.92,84.2,74,1,13.87
99,Ancud,CL,1578261811,-41.87,-73.83,57.2,62,75,14.99
100,Sitka,US,1578261575,37.17,-99.65,52.0,35,2,8.25
101,Oktyabrskoye,RU,1578261811,56.73,85.44,28.0,92,75,13.42
102,Erdaojiang,CN,1578261811,41.78,126.03,16.16,76,100,3.47
103,Thompson,CA,1578261782,55.74,-97.86,6.8,84,90,9.17
104,Liberty,US,1578261812,39.64,-84.93,46.99,56,1,19.46
105,Sao Jose,AO,1578261812,-12.77,15.77,61.81,95,100,3.96
106,Cumberland,US,1578261812,41.97,-71.43,36.0,63,0,13.87
107,San Patricio,PY,1578261812,-26.98,-56.83,93.25,32,24,2.8
108,Saint George,GR,1578261812,39.45,22.34,42.01,75,90,13.87
109,Sao Felix do Xingu,BR,1578261812,-6.64,-51.99,78.26,94,80,2.66
110,Irbeyskoye,RU,1578261812,55.64,95.45,25.34,82,100,5.01
111,Cabo San Lucas,MX,1578261794,22.89,-109.91,80.01,57,75,6.93
112,Hare Bay,CA,1578261812,48.86,-53.99,24.8,92,90,16.11
113,Ponta do Sol,BR,1578261813,-20.63,-46.0,75.29,84,20,4.41
114,Vestmannaeyjar,IS,1578261813,63.44,-20.27,43.03,70,100,19.98
115,Agadez,NE,1578261813,16.97,7.99,62.6,25,1,9.17
116,Nelson Bay,AU,1578261813,-32.72,152.14,73.99,69,90,9.17
117,Latehar,IN,1578261813,23.74,84.5,47.89,77,0,2.77
118,Sambava,MG,1578261813,-14.27,50.17,71.55,98,100,2.93
119,Buraydah,SA,1578261813,26.33,43.97,50.0,53,0,2.24
120,Ilulissat,GL,1578261813,69.22,-51.1,6.8,71,75,11.41
121,Tsabong,BW,1578261813,-26.02,22.4,86.32,30,0,5.48
122,Yulara,AU,1578261542,-25.24,130.99,64.4,88,90,10.29
123,Kloulklubed,PW,1578261798,7.04,134.26,78.8,94,90,13.87
124,Bilibino,RU,1578261813,68.06,166.44,-10.95,65,0,2.04
125,Ballina,IE,1578261814,54.11,-9.15,52.0,88,100,14.0
126,Clyde River,CA,1578261814,70.47,-68.59,-38.2,58,1,5.82
127,Talnakh,RU,1578261814,69.49,88.39,23.0,92,75,29.08
128,Victoria,BN,1578261814,5.28,115.24,80.6,83,75,4.7
129,Farafangana,MG,1578261814,-22.82,47.83,80.08,77,3,9.44
130,Rio Gallegos,AR,1578261814,-51.62,-69.22,59.0,41,40,20.8
131,Belyy Yar,RU,1578261655,53.6,91.39,23.0,73,98,4.47
132,Sobolevo,RU,1578261785,54.43,31.9,26.76,81,16,6.55
133,Adrar,DZ,1578261814,27.87,-0.29,48.2,24,0,10.29
134,Upernavik,GL,1578261619,72.79,-56.15,-29.87,88,100,11.86
135,Hithadhoo,MV,1578261814,-0.6,73.08,81.48,78,100,11.25
136,Markovo,BG,1578261815,43.2,27.23,35.6,69,99,13.87
137,Hanna,CA,1578261753,51.64,-111.93,30.99,60,0,8.99
138,Plymouth,GB,1578261774,50.37,-4.14,48.99,81,99,9.17
139,Awbari,LY,1578261815,26.59,12.77,46.02,32,0,5.48
140,Tasiilaq,GL,1578261815,65.61,-37.64,24.06,93,100,30.44
141,Thinadhoo,MV,1578261815,0.53,72.93,81.39,77,98,3.31
142,Kavieng,PG,1578261815,-2.57,150.8,84.27,73,56,7.54
143,Bluff,AU,1578261815,-23.58,149.07,74.39,77,0,10.36
144,Jiayuguan,CN,1578261815,39.77,98.29,14.0,74,8,2.51
145,NEDJO,ET,1578261815,9.5,35.5,59.36,61,1,3.87
146,Beringovskiy,RU,1578261815,63.05,179.32,-7.46,79,89,16.67
147,Boffa,GN,1578261815,10.18,-14.04,75.42,80,9,5.73
148,Mar del Plata,AR,1578261677,-46.43,-67.52,69.57,33,100,6.33
149,Lebu,ET,1578261816,8.96,38.73,57.2,71,75,6.93
150,Rawson,AR,1578261816,-43.3,-65.11,64.76,60,42,22.15
151,Gravdal,NO,1578261816,59.79,5.78,46.4,93,75,12.75
152,Bethel,US,1578261816,60.79,-161.76,-16.6,74,1,6.93
153,Luanda,AO,1578261607,-8.83,13.24,80.6,83,40,8.05
154,Nueva Loja,EC,1578261816,0.08,-76.88,89.6,58,75,2.24
155,Mezen,RU,1578261816,65.85,44.24,15.06,88,42,13.0
156,Komsomolskiy,RU,1578261816,67.55,63.78,9.59,94,87,15.82
157,Toamasina,MG,1578261816,-18.17,49.38,77.0,94,40,4.7
158,Gondanglegi,ID,1578261816,-7.75,112.01,74.79,91,91,1.68
159,Viedma,AR,1578261817,-40.81,-62.99,67.3,62,76,21.85
160,Suntar,RU,1578261817,62.16,117.65,15.67,93,100,8.63
161,Makakilo City,US,1578261631,21.35,-158.09,80.6,78,90,6.93
162,Geraldton,CA,1578261817,49.72,-86.95,14.0,85,90,8.05
163,Puerto Escondido,MX,1578261817,15.86,-97.07,86.0,55,5,9.17
164,Souillac,FR,1578261817,45.6,-0.6,39.99,80,0,6.93
165,Grand Gaube,MU,1578261797,-20.01,57.66,73.4,100,75,9.17
166,Galesong,ID,1578261817,-5.32,119.37,75.2,100,40,5.82
167,Gushikawa,JP,1578261817,26.35,127.87,64.4,72,20,3.36
168,Beloha,MG,1578261817,-25.17,45.06,73.9,79,0,14.29
169,Teknaf,BD,1578261817,20.86,92.31,58.46,98,18,3.42
170,Bougouni,ML,1578261817,11.42,-7.49,68.4,14,32,4.63
171,Bandarbeyla,SO,1578261817,9.49,50.81,78.48,81,100,10.02
172,Darnah,LY,1578261817,32.77,22.64,59.16,71,37,25.5
173,Sola,TZ,1578261817,-3.17,33.8,66.42,84,89,4.52
174,Conceicao da Barra,BR,1578261610,-18.59,-39.73,80.1,86,94,20.76
175,Moses Lake,US,1578261818,47.13,-119.28,44.6,56,90,10.29
176,Saint-Donat-de-Montcalm,CA,1578261818,46.32,-74.22,12.52,90,29,7.87
177,Lieksa,FI,1578261818,63.32,30.02,24.24,72,100,9.84
178,Yar-Sale,RU,1578261818,66.83,70.83,15.31,84,0,17.47
179,Vanimo,PG,1578261818,-2.67,141.3,81.59,84,100,23.76
180,Bathsheba,BB,1578261818,13.22,-59.52,77.0,78,75,11.41
181,Saint-Philippe,CA,1578261818,45.36,-73.48,23.0,73,90,8.05
182,Kuzovatovo,RU,1578261818,53.54,47.69,23.36,95,90,1.01
183,Kalmunai,LK,1578261818,7.42,81.82,81.12,77,12,13.13
184,Grootfontein,NA,1578261818,-19.56,18.1,65.53,91,100,8.23
185,Malanville,NE,1578261818,11.86,3.39,72.68,24,61,9.19
186,Pecos,US,1578261579,31.42,-103.49,66.99,19,1,5.82
187,Wawa,NG,1578261818,9.9,4.41,80.4,33,72,5.32
188,Key Largo,US,1578261814,25.09,-80.45,71.01,49,1,8.05
189,Marki,PL,1578261819,52.33,21.11,30.99,92,33,3.36
190,Jiangyou,CN,1578261819,31.78,104.73,33.4,90,58,2.17
191,Lianzhou,CN,1578261819,24.79,112.38,60.39,86,74,1.79
192,Beaune,FR,1578261819,47.02,4.84,33.8,92,0,6.93
193,Karratha,AU,1578261820,-20.74,116.85,84.25,69,100,10.11
194,Dikson,RU,1578261820,73.51,80.55,17.56,91,95,20.65
195,Batemans Bay,AU,1578261623,-35.71,150.18,59.0,84,100,10.0
196,Lebowakgomo,ZA,1578261820,-24.3,29.54,73.4,68,10,3.36
197,General Roca,AR,1578261820,-39.03,-67.58,77.0,16,48,27.51
198,Kirchzarten,DE,1578261820,47.97,7.96,34.0,92,0,2.24
199,Okhotsk,RU,1578261820,59.36,143.24,3.43,76,0,12.03
200,Ati,TD,1578261820,13.21,18.34,70.93,22,39,12.17
201,Zhiryatino,RU,1578261820,53.22,33.73,28.38,84,5,7.52
202,Shelburne,CA,1578261820,44.08,-80.2,34.0,80,90,4.9
203,Severo-Kurilsk,RU,1578261821,50.68,156.12,19.35,93,100,14.85
204,Broome,GB,1578261821,52.47,1.45,46.4,81,75,9.17
205,Los Llanos de Aridane,ES,1578261821,28.66,-17.92,62.6,63,44,9.17
206,Ivoti,BR,1578261794,-29.59,-51.16,88.0,54,56,19.46
207,Ous,RU,1578261822,60.91,61.52,19.22,87,100,6.69
208,Sharjah,AE,1578261668,25.36,55.39,73.4,64,40,13.87
209,Qaanaaq,GL,1578261822,77.48,-69.36,-25.65,47,0,4.12
210,Sarab,IR,1578261822,38.61,44.99,29.86,63,0,2.66
211,Guerrero Negro,MX,1578261822,27.97,-114.04,72.99,23,0,7.16
212,Inhambane,MZ,1578261565,-23.87,35.38,79.34,80,0,14.29
213,Flinders,AU,1578261822,-34.58,150.85,71.01,93,100,5.82
214,Samarai,PG,1578261554,-10.62,150.67,79.39,85,100,2.68
215,Tari,NG,1578261822,12.41,4.49,71.19,22,24,10.76
216,Hastings,NZ,1578261780,-39.64,176.84,66.81,41,25,19.62
217,Kaeo,NZ,1578261822,-35.1,173.78,66.99,100,100,1.99
218,Tuktoyaktuk,CA,1578261649,69.44,-133.03,-22.0,74,90,9.17
219,Provideniya,RU,1578261694,64.42,-173.23,-10.43,82,100,9.08
220,Lipin Bor,RU,1578261823,60.26,37.97,16.03,93,0,3.98
221,Hasaki,JP,1578261823,35.73,140.83,33.8,69,20,5.82
